no.,description,date,time,location,category,size,shape,colour,size,remarks,,,,,,,,,,,,,,,
1,Airport Metro: A12,17 Feb 2026,7:51 AM,Airport T1,metro,medium,circle,blue,5.5 x 5.5,,,,,,,,,,,,,,,,
2,Airport Metro: A1,17 Feb 2026,8:38 AM,Taipei Main Station,metro,medium,circle,blue,5.5 x 5.5,,,,,,,,,,,,,,,,
3,Taipei Metro Stamp,17 Feb 2026,8:56 AM,Taipei Main Station,metro,large,oval,black,7.5 x 5.0,,,,,,,,,,,,,,,,
4,Taipei Metro Stamp,17 Feb 2026,9:39 AM,Gongguan Station,metro,large,oval,green,7.5 x 5.0,,,,,,,,,,,,,,,,
5,Taipei Metro Stamp,17 Feb 2026,12:38 PM,Ximen Station,metro,large,oval,black,7.5 x 5.0,,,,,,,,,,,,,,,,
6,Taipei Metro Stamp,17 Feb 2026,5:57 PM,Longshan Temple Station,metro,large,odd,blue,6.5 x 5.0,,,,,,,,,,,,,,,,
7,YMS Stamp 1,18 Feb 2026,10:49 AM,Qingtiangang,nat. parks,large,circle,black,6.5 x 6.5,,,,,,,,,,,,,,,,
8,YMS Stamp 2,18 Feb 2026,10:49 AM,Qingtiangang,nat. parks,large,circle,black,6.5 x 6.5,,,,,,,,,,,,,,,,
9,YMS Stamp 3,18 Feb 2026,10:49 AM,Qingtiangang,nat. parks,large,circle,black,6.5 x 6.5,,,,,,,,,,,,,,,,
10,YMS Stamp 4,18 Feb 2026,10:49 AM,Qingtiangang,nat. parks,large,circle,black,6.5 x 6.5,,,,,,,,,,,,,,,,
11,Date Stamp,18 Feb 2026,10:49 AM,Qingtiangang,nat. parks,mini,rectangle,black,3.5 x 0.5,,,,,,,,,,,,,,,,
12,YMS Stamp 5,18 Feb 2026,10:49 AM,Qingtiangang,nat. parks,large,circle,black,6.5 x 6.5,,,,,,,,,,,,,,,,
13,YMS Stamp 6,18 Feb 2026,10:49 AM,Qingtiangang,nat. parks,medium,circle,black,4.8 x 4.8,,,,,,,,,,,,,,,,
14,YMS Stamp 7,18 Feb 2026,10:49 AM,Qingtiangang,nat. parks,medium,circle,black,4.8 x 4.8,,,,,,,,,,,,,,,,
15,YMS Stamp 8,18 Feb 2026,10:49 AM,Qingtiangang,nat. parks,small,odd,black,5.0 x 3.5,,,,,,,,,,,,,,,,
16,YMS Stamp 9,18 Feb 2026,1:07 PM,Flower Clock,nat. parks,small,odd,blue,4.0 x 3.2,,,,,,,,,,,,,,,,
17,Taipei Metro Stamp,18 Feb 2026,3:47 PM,Jiantan Station,metro,medium,circle,red,5.0 x 5.0,,,,,,,,,,,,,,,,
18,Taipei Metro Stamp,19 Feb 2026,10:37 AM,Dongmen Station,metro,large,oval,black,7.5 x 5.0,,,,,,,,,,,,,,,,
19,Lai Hao Stamp 1 - beer,19 Feb 2026,10:56 AM,Lai Hao Da'an,retail shops,small,odd,blue,7.0 x 2.4,,,,,,,,,,,,,,,,
20,Lai Hao Stamp 2 - xiaolongbao,19 Feb 2026,10:56 AM,Lai Hao Da'an,retail shops,mini,odd,blue,3.2 x 3.2,,,,,,,,,,,,,,,,
21,Lai Hao Stamp 3 - mango,19 Feb 2026,10:56 AM,Lai Hao Da'an,retail shops,small,odd,black,4.4 x 3.5,,,,,,,,,,,,,,,,
22,Lai Hao Stamp 4 - sky lantern,19 Feb 2026,10:56 AM,Lai Hao Da'an,retail shops,mini,odd,black,2.1 x 2.3,,,,,,,,,,,,,,,,
23,Lai Hao Stamp 5 - xi,19 Feb 2026,10:56 AM,Lai Hao Da'an,retail shops,small,circle,blue,4.5 x 4.5,,,,,,,,,,,,,,,,
